User ID,User name,User influence,Tweet text,Tweet ID,Posting date,Retweets,Hash tags,Mentions,Links
anamikadubai,anamika gupta,,“@KANKANAC: @raj20k saarey duniya ka bojh aap uthatey ho @1mgupta @SrBachchan @anamikadubai @iamrikib  ,http://twitter.com/anamikadubai/status/358295634018709504,2013-07-19,3,,"@raj20k,@1mgupta,@SrBachchan,@anamikadubai,@iamrikib",http://t.co/8Lz4PtrK9R”
parthphna,Parth Patel,,An unforgettable moment for me an even a few seconds with him can transform one for life @SrBachchan u rule sir  ,http://twitter.com/parthphna/status/357102148837834754,2013-07-16,8,,@SrBachchan,http://t.co/SzHG1uWhYi
thisisishtar,Ishtar J S.,,"@SrBachchan no sir, THANK YOU for...everything! I don't know what to say right now because now I'm crying ",http://twitter.com/thisisishtar/status/356137040875761664,2013-07-13,0,,@SrBachchan,
s1nngh,SAΠDΣΣP♡SAΠDHU,Influential,"@SrBachchan Amazing pic Sir ji..When it comes to find very rare pics, then @MosesSapir is the best..loved it!♥ ",http://twitter.com/s1nngh/status/356847993204387840,2013-07-15,0,,"@SrBachchan,@MosesSapir",
mosessapir,Moses Sapir,,@SrBachchan Amit ji Apka khayal Rakna ,http://twitter.com/mosessapir/status/356130804503543808,2013-07-14,0,,@SrBachchan,
aartimadan,Aarti Madan,Influential,ROFLLLLL RT @SrBachchan: @pamelasarkar243 errrmmm . excuse me .. there is a rather naughty typo here : you wrote 'lesbanese' for 'Lebanese' ,http://twitter.com/aartimadan/status/356137335768883200,2013-07-13,0,,"@SrBachchan,@pamelasarkar243",
ifaridoon,Faridoon Shahryar,,WWI 6th convocation and felicitation of @SrBachchan  ,http://twitter.com/ifaridoon/status/357723294381772803,2013-07-18,2,,@SrBachchan,http://t.co/uEdeC1gsJN
mosessapir,Moses Sapir,,@SrBachchan Amit ji shukriya aur danyavad ,http://twitter.com/mosessapir/status/356485652445016065,2013-07-14,0,,@SrBachchan,
cinemagik,Ship of Kseus,Influential,"@SrBachchan Sir, it is this guy -> @CastingChhabra He has flooded the industry with awesomely talented actors! ",http://twitter.com/cinemagik/status/357957719136800768,2013-07-18,0,,"@SrBachchan,@CastingChhabra",
nitishmurthy,Nitish Murthy,,"@SrBachchan well of course, the straw pulls empty air faster than the one in the drink (vaccum). ",http://twitter.com/nitishmurthy/status/356845632914337793,2013-07-15,0,,@SrBachchan,
